Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Application Support Service,"Corporate Services - Digital, Data & Technology",Maxica Consulting Ltd,367433,547,Mf Devolved Admin-application Support Service,RG45 7AW,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Hays Specialist Recruitment Ltd,370107,3880.5,Mf Devolved Admin-hire Of Interim Managers,KT3 4QF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Other It Consultancy,"Corporate Services - Digital, Data & Technology",Cognitive Group Ltd,370441,16590,Mf Devolved Admin-other It Consultancy,EC3R 7BB,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Hays Specialist Recruitment Ltd,370637,2328.3,Mf Devolved Admin-hire Of Interim Managers,KT3 4QF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Other It Consultancy,"Corporate Services - Digital, Data & Technology",Albany Beck Consultancy Services Ltd,370767,11800,Mf Devolved Admin-other It Consultancy,HP4 2DF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Ppm Consultancy,"Corporate Services - Digital, Data & Technology",Veracity Osi Uk Ltd,371392,116779.5,Mf Devolved Admin-ppm Consultancy,EC3R 8LJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Hays Specialist Recruitment Ltd,371457,3880.5,Mf Devolved Admin-hire Of Interim Managers,KT3 4JQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Hays Specialist Recruitment Ltd,371762,3880.5,Mf Devolved Admin-hire Of Interim Managers,KT3 4QF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Hays Specialist Recruitment Ltd,372634,3880.5,Mf Devolved Admin-hire Of Interim Managers,KT3 4JQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,369916,1663.01,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,369927,3237.06,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,369930,3849.54,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,369933,3387.66,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,370830,-2462.72,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,370830,5419.18,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,370843,3237.06,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,370846,3849.54,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,370848,11006,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,370849,3387.66,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,370851,3237.06,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,371557,3695.58,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,371579,3884.47,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,371580,3849.54,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,371582,3387.66,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,371585,3237.06,Eu Exit: Digital Adm-hire Of Interim Managers,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Stationery,Corporate Services - Organisational Development,"Personal Expense, Name Withheld",370358,174.98,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Contractor Expenditure,Corporate Services - Organisational Development,Allen Lane Ltd,370425,4536,Mf Devolved Admin-contractor Expenditure,SW1Y 6RJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Contractor Expenditure,Corporate Services - Organisational Development,Allen Lane Ltd,371288,3780,Mf Devolved Admin-contractor Expenditure,SW1Y 6RJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Stationery,Corporate Services - Organisational Development,"Personal Expense, Name Withheld",372935,67.72,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Consultancy Expenditure,Corporate Services - Organisational Development,Sd Jacobson Fia,373232,1625,Mf Devolved Admin-consultancy Expenditure,HA8 8PB,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Stationery,"Corporate Services - Digital, Data & Technology","Personal Expense, Name Withheld",372708,142.98,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Hire Of Agency Staff,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,369971,847.14,Mf Devolved Admin-hire Of Agency Staff,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Other It Consultancy,"Corporate Services - Digital, Data & Technology",Triad Group Plc,370576,18360,Mf Devolved Admin-other It Consultancy,GU7 1XE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Other It Consultancy,"Corporate Services - Digital, Data & Technology",Triad Group Plc,370640,2640,Mf Devolved Admin-other It Consultancy,GU7 1XE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Other It Consultancy,"Corporate Services - Digital, Data & Technology",Triad Group Plc,370642,12600,Mf Devolved Admin-other It Consultancy,GU7 1XE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Hr Training Education Consultancy,"Corporate Services - Digital, Data & Technology",Inform Ltd T/A The Inform Team,370759,7800,Mf Devolved Admin-hr Training Educat Consultcy,SE11 5SW,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Hire Of Agency Staff,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,370826,677.71,Mf Devolved Admin-hire Of Agency Staff,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Stationery,"Corporate Services - Digital, Data & Technology","Personal Expense, Name Withheld",370863,115,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Stationery,"Corporate Services - Digital, Data & Technology","Personal Expense, Name Withheld",371076,6.7,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Storage And Distribution,"Corporate Services - Digital, Data & Technology",Restore Plc,371278,8124.55,Mf Devolved Admin-storage And Distribution,RH1 5DY,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Conference And Exhibition Services,"Corporate Services - Digital, Data & Technology",Knowledgeable Ltd,371280,5400,Mf Devolved Admin-conference And Exhibition Services,TW12 2LL,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Mileage Allowance Uk,"Corporate Services - Digital, Data & Technology","Personal Expense, Name Withheld",371524,135,Mf Devolved Admin-mileage Allowance Uk,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Hire Of Agency Staff,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,371609,677.71,Mf Devolved Admin-hire Of Agency Staff,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Storage And Distribution,"Corporate Services - Digital, Data & Technology",Restore Plc,371633,8361.42,Mf Devolved Admin-storage And Distribution,RH1 5DY,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Subsistence Uk,"Corporate Services - Digital, Data & Technology","Personal Expense, Name Withheld",371866,5,Mf Devolved Admin-subsistence Uk,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Stationery,"Corporate Services - Digital, Data & Technology","Personal Expense, Name Withheld",371866,11.6,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
