Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,EXP - Miscellaneous Expenditure - iExpenses,Energy and Security - Clean Power Strategy and Deployment,"Personal Expense, Name Withheld",355887,12.59,MF Devolved Admin-EXP - Miscellaneous Expenditure - iExpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,Energy and Security - Nuclear Directorate - SS,"Personal Expense, Name Withheld",355888,9.99,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355889,104.40,OPSS: National Capacity Enforcement-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,EXP - Miscellaneous Expenditure - iExpenses,Energy and Security - Nuclear Directorate - SS,"Personal Expense, Name Withheld",355890,14.00,MF Devolved Admin-EXP - Miscellaneous Expenditure - iExpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,EXP - Miscellaneous Expenditure - iExpenses,Energy and Security - Nuclear Directorate - SS,"Personal Expense, Name Withheld",355891,235.31,MF Devolved Admin-EXP - Miscellaneous Expenditure - iExpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,Market Frameworks - Office of Manpower Economics,"Personal Expense, Name Withheld",355892,26.99,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,Energy Transformation and Clean Growth - Clean Heat,"Personal Expense, Name Withheld",355893,69.48,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,Corporate Services - Communications,"Personal Expense, Name Withheld",355894,162.08,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,"Industrial Strategy, Science and Innovation - Government Office for Science","Personal Expense, Name Withheld",355896,173.48,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,EXP - Miscellaneous Expenditure - iExpenses,"Industrial Strategy, Science and Innovation - Government Office for Science","Personal Expense, Name Withheld",355897,111.99,MF Devolved Admin-EXP - Miscellaneous Expenditure - iExpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,Energy and Security - Energy Development and Resilience,"Personal Expense, Name Withheld",355898,40.56,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,Market Frameworks - Business Frameworks,"Personal Expense, Name Withheld",355899,132.23,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,EXP - Miscellaneous Expenditure - iExpenses,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355900,19.60,OPSS: Innovating for Growth-EXP - Miscellaneous Expenditure - iExpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Subsistence UK,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355901,5.00,OPSS: Innovating for Growth-Subsistence UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Subsistence UK,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355901,9.87,OPSS: Innovating for Growth-Subsistence UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Motor Vehicle Hire,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355901,39.31,OPSS: Innovating for Growth-Motor Vehicle Hire,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,Corporate Services - Communications,"Personal Expense, Name Withheld",355902,13.09,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Other Travel,Corporate Services - Communications,"Personal Expense, Name Withheld",355903,40.00,MF Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,Corporate Services - Communications,"Personal Expense, Name Withheld",355903,126.98,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,"Trade, Europe and Analysis - Analysis Directorate","Personal Expense, Name Withheld",355905,200.98,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",355906,104.39,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,"Industrial Strategy, Science and Innovation - Industrial Strategy","Personal Expense, Name Withheld",355907,430.45,EU Exit Core BEIS Staff: No specific DExEU issue ADM-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,"Energy and Security - Energy Security, Networks and Markets","Personal Expense, Name Withheld",355908,153.59,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,Energy and Security - Nuclear Directorate - SS,"Personal Expense, Name Withheld",355911,103.98,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,Corporate Services - Finance & Portfolio,"Personal Expense, Name Withheld",355912,592.38,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,EXP - Miscellaneous Expenditure - iExpenses,"Industrial Strategy, Science and Innovation - Industrial Strategy","Personal Expense, Name Withheld",355913,183.97,MF Devolved Admin-EXP - Miscellaneous Expenditure - iExpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,"Trade, Europe and Analysis - Trade and Europe Portfolio Directorate","Personal Expense, Name Withheld",355914,29.95,EU Exit Core BEIS Staff: EU Exit Programme ADM-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,"Energy and Security - Energy Security, Networks and Markets","Personal Expense, Name Withheld",355915,51.39,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Stationery,"Corporate Services - Policy, Delivery and Private Office","Personal Expense, Name Withheld",355938,49.50,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Stationery,"Corporate Services - Policy, Delivery and Private Office","Personal Expense, Name Withheld",355938,79.99,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Stationery,Market Frameworks - Labour Market,"Personal Expense, Name Withheld",355947,10.99,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Stationery,Market Frameworks - Labour Market,"Personal Expense, Name Withheld",355947,24.99,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Stationery,Market Frameworks - Labour Market,"Personal Expense, Name Withheld",355947,189.78,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Stationery,"Trade, Europe and Analysis - Trade and Investment Negotiations Goods","Personal Expense, Name Withheld",355948,51.29,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Subsistence UK,"Corporate Services - Policy, Delivery and Private Office","Personal Expense, Name Withheld",355949,10.00,MF Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Subsistence UK,"Corporate Services - Policy, Delivery and Private Office","Personal Expense, Name Withheld",355949,13.00,MF Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Subsistence UK,"Corporate Services - Policy, Delivery and Private Office","Personal Expense, Name Withheld",355949,26.95,MF Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Eye Tests,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",355951,25.00,Default-Eye Tests,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Eye Tests,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",355954,90.00,Default-Eye Tests,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Eye Tests,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",355958,25.00,Default-Eye Tests,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Eye Tests,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",355960,86.31,Default-Eye Tests,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Eye Tests,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",355961,65.00,Default-Eye Tests,,EMPLOYEE
